T(K)	T(°C)	p(Pa)
3250	2977	0.695
3255	2982	0.727
3260	2987	0.760
3265	2992	0.795
3270	2997	0.786
3275	3002	0.820
3280	3007	0.856
3285	3012	0.893
3290	3017	0.932
3295	3022	0.972
3300	3027	1.01
3305	3032	1.06
3310	3037	1.10
3315	3042	1.15
3320	3047	1.20
3325	3052	1.25
3330	3057	1.30
3335	3062	1.36
3340	3067	1.41
3345	3072	1.47
3350	3077	1.53
3355	3082	1.60
3360	3087	1.66
3365	3092	1.73
3370	3097	1.80
3375	3102	1.88
3380	3107	1.95
3385	3112	2.03
3390	3117	2.12
3395	3122	2.20
3400	3127	2.29
3405	3132	2.38
3410	3137	2.48
3415	3142	2.58
3420	3147	2.68
3425	3152	2.79
3430	3157	2.90
3435	3162	3.01
3440	3167	3.13
3445	3172	3.26
3450	3177	3.38
3455	3182	3.52
3460	3187	3.65
3465	3192	3.79
3470	3197	3.94
3475	3202	4.09
3480	3207	4.25
3485	3212	4.42
3490	3217	4.58
3495	3222	4.76
3500	3227	4.94
3505	3232	5.13
3510	3237	5.32
3515	3242	5.52
3520	3247	5.73
3525	3252	5.95
3530	3257	6.17
3535	3262	6.40
3540	3267	6.64
3545	3272	6.89
3550	3277	7.14
3555	3282	7.40
3560	3287	7.68
3565	3292	7.96
3570	3297	8.25
3575	3302	8.55
3580	3307	8.86
3585	3312	9.18
3590	3317	9.52
3595	3322	9.86
3600	3327	10.2
3605	3332	10.6
3610	3337	11.0
3615	3342	11.3
3620	3347	11.8
3625	3352	12.2
3630	3357	12.6
3635	3362	13.0
3640	3367	13.5
3645	3372	14.0
3650	3377	14.5
3655	3382	15.0
3660	3387	15.5
3665	3392	16.0
3670	3397	16.6
3675	3402	17.2
3680	3407	17.7
3685	3412	18.4
3690	3417	19.0
3695	3422	19.6
3700	3427	20.3
3705	3432	21.0
3710	3437	21.7
3715	3442	22.4
3720	3447	23.2
3725	3452	24.0
3730	3457	24.8
3735	3462	25.6
3740	3467	26.4
3745	3472	27.3
3750	3477	28.2
3755	3482	29.2
3760	3487	30.1
3765	3492	31.1
3770	3497	32.1
3775	3502	33.2
3780	3507	34.3
3785	3512	35.4
3790	3517	36.5
3795	3522	37.7
3800	3527	38.9
3805	3532	40.2
3810	3537	41.4
3815	3542	42.8
3820	3547	44.1
3825	3552	45.5
3830	3557	47.0
3835	3562	48.5
3840	3567	50.0
3845	3572	51.6
3850	3577	53.2
3855	3582	54.9
3860	3587	56.6
3865	3592	58.3
3870	3597	60.1
3875	3602	62.0
3880	3607	63.9
3885	3612	65.9
3890	3617	67.9
3895	3622	70.0
3900	3627	72.1
3905	3632	74.3
3910	3637	76.6
3915	3642	78.9
3920	3647	81.3
3925	3652	83.8
3930	3657	86.3
3935	3662	88.9
3940	3667	91.5
3945	3672	94.3
3950	3677	97.1
3955	3682	100
3960	3687	103
3965	3692	106
3970	3697	109
3975	3702	112
3980	3707	116
3985	3712	119
3990	3717	122
3995	3722	126
4000	3727	130
